periode_seleksi_casn,nama_jabatan,kualifikasi_tingkat_pendidikan,kualifikasi_program_studi_jurusan,alokasi_kebutuhan,jumlah_pelamar,rasio_keketatan,passing_grade_persen,tingkat_keketatan,eselon_1_penempatan,eselon_2_penempatan,eselon_3_penempatan,lokasi,rentang_penghasilan
2024,Analis SDM Ahli Pertama,S1,"PSIKOLOGI
MANAJEMEN",2,928,1:464,0.22,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,3,2088,1:696,0.14,sangat_tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Arsiparis Terampil,DIII,"TEKNOLOGI INFORMASI
MANAJEMEN
SISTEM INFORMASI",3,186,1:62,1.61,rendah,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",2908320-6984006
2024,Perawat Terampil,DIII,KEPERAWATAN,1,125,1:125,0.8,sedang,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Perawat Terampil,DIII,KEPERAWATAN,1,256,1:256,0.39,sedang,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Arsiparis Terampil,DIII,TEKNOLOGI INFORMASI,5,405,1:81,1.23,rendah,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2908320-6984006
2024,Pengelola Keuangan,DIII,"AKUNTANSI
MANAJEMEN",4,972,1:243,0.41,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",2918320-6994006
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"MANAJEMEN KOMUNIKASI
DESAIN KOMUNIKASI VISUAL
HUBUNGAN MASYARAKAT",4,1332,1:333,0.3,tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
SISTEM INFORMASI
TEKNIK INFORMATIKA",1,337,1:337,0.3,tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,3,447,1:149,0.67,sedang,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,3,1218,1:406,0.25,tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"TEKNIK INFORMATIKA
ILMU KOMPUTER",1,343,1:343,0.29,tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,3,2274,1:758,0.13,sangat_tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pengelola Keuangan,DIII,"MANAJEMEN
AKUNTANSI",2,370,1:185,0.54,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",2918320-6994006
2024,Auditor Ahli Muda,S1,AKUNTANSI,5,3785,1:757,0.13,sangat_tinggi,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Auditor Ahli Muda,S1,AKUNTANSI,3,2133,1:711,0.14,sangat_tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Pranata Komputer Terampil,DIII,SISTEM INFORMASI,5,530,1:106,0.94,sedang,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Penyuluh Sosial Ahli Pertama,S1,SOSIOLOGI,3,156,1:52,1.92,rendah,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,HUBUNGAN MASYARAKAT,2,952,1:476,0.21,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Arsiparis Terampil,DIII,"SISTEM INFORMASI
TEKNOLOGI INFORMASI
MANAJEMEN",5,260,1:52,1.92,rendah,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",2908320-6984006
2024,Auditor Ahli Muda,S1,AKUNTANSI,4,2300,1:575,0.17,sangat_tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,1,338,1:338,0.3,tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis SDM Ahli Pertama,S1,MANAJEMEN,4,1840,1:460,0.22,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Statistisi Ahli Pertama,S1,MATEMATIKA,5,1250,1:250,0.4,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,3,1986,1:662,0.15,sangat_tinggi,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Analis SDM Ahli Pertama,S1,"PSIKOLOGI
MANAJEMEN",1,428,1:428,0.23,tinggi,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Kebijakan Ahli Muda,S1,ADMINISTRASI NEGARA,4,1940,1:485,0.21,tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Arsiparis Terampil,DIII,SISTEM INFORMASI,4,360,1:90,1.11,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",2908320-6984006
2024,Analis Hukum Ahli Pertama,S1,HUKUM,1,562,1:562,0.18,sangat_tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,5,3530,1:706,0.14,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3500000-9000000
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"MANAJEMEN KOMUNIKASI
JURNALISTIK
DESAIN KOMUNIKASI VISUAL",3,1485,1:495,0.2,tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,2,898,1:449,0.22,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Anggaran Ahli Pertama,S1,"MANAJEMEN
AKUNTANSI",3,933,1:311,0.32,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Penyuluh Sosial Ahli Pertama,S1,"SOSIOLOGI
PSIKOLOGI
ILMU KESEJAHTERAAN SOSIAL",4,204,1:51,1.96,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,2,1892,1:946,0.11,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3500000-9000000
2024,Perencana Ahli Pertama,S1,"MATEMATIKA
STATISTIKA
EKONOMI PEMBANGUNAN",3,660,1:220,0.45,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Statistisi Ahli Pertama,S1,MATEMATIKA,4,684,1:171,0.58,sedang,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"TEKNIK INFORMATIKA
SISTEM INFORMASI
ILMU KOMPUTER",1,440,1:440,0.23,tinggi,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"HUBUNGAN MASYARAKAT
ILMU KOMUNIKASI
JURNALISTIK",2,950,1:475,0.21,tinggi,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,1,349,1:349,0.29,tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Penyuluh Sosial Ahli Pertama,S1,"ILMU KESEJAHTERAAN SOSIAL
SOSIOLOGI
PSIKOLOGI",5,440,1:88,1.14,rendah,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pengelola Keuangan,DIII,"AKUNTANSI
MANAJEMEN",4,724,1:181,0.55,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",2918320-6994006
2024,Statistisi Ahli Pertama,S1,"STATISTIKA
MATEMATIKA",1,224,1:224,0.45,sedang,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,4,844,1:211,0.47,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Pengelola Keuangan,DIII,"AKUNTANSI
MANAJEMEN",5,1080,1:216,0.46,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Analis SDM Ahli Pertama,S1,"PSIKOLOGI
MANAJEMEN",3,1089,1:363,0.28,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Pengelola Keuangan,DIII,"MANAJEMEN
AKUNTANSI",4,796,1:199,0.5,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,2,608,1:304,0.33,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"DESAIN KOMUNIKASI VISUAL
MANAJEMEN KOMUNIKASI",3,1329,1:443,0.23,tinggi,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,2,722,1:361,0.28,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Anggaran Ahli Pertama,S1,EKONOMI PEMBANGUNAN,5,2445,1:489,0.2,tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,5,1080,1:216,0.46,sedang,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"JURNALISTIK
DESAIN KOMUNIKASI VISUAL",5,1530,1:306,0.33,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,2,364,1:182,0.55,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",2918320-6994006
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"DESAIN KOMUNIKASI VISUAL
HUBUNGAN MASYARAKAT",1,442,1:442,0.23,tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,TEKNIK INFORMATIKA,1,326,1:326,0.31,tinggi,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Arsiparis Terampil,DIII,"MANAJEMEN
TEKNOLOGI INFORMASI
SISTEM INFORMASI",5,260,1:52,1.92,rendah,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",2908320-6984006
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,2,596,1:298,0.34,sedang,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Anggaran Ahli Pertama,S1,"AKUNTANSI
EKONOMI PEMBANGUNAN",3,1491,1:497,0.2,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,3,393,1:131,0.76,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Terampil,DIII,"TEKNOLOGI INFORMASI
SISTEM INFORMASI",2,298,1:149,0.67,sedang,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Analis Kebijakan Ahli Muda,S1,"ILMU PEMERINTAHAN
ADMINISTRASI PUBLIK",2,820,1:410,0.24,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3500000-9000000
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"JURNALISTIK
ILMU KOMUNIKASI",2,922,1:461,0.22,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Arsiparis Terampil,DIII,"TEKNOLOGI INFORMASI
MANAJEMEN
SISTEM INFORMASI",4,368,1:92,1.09,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",2908320-6984006
2024,Penyuluh Sosial Ahli Pertama,S1,"ILMU KESEJAHTERAAN SOSIAL
SOSIOLOGI
PSIKOLOGI",4,372,1:93,1.08,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"MATEMATIKA
STATISTIKA",2,396,1:198,0.51,sedang,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,3,1113,1:371,0.27,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Pranata Komputer Terampil,DIII,"SISTEM INFORMASI
TEKNOLOGI INFORMASI",5,515,1:103,0.97,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Pranata Komputer Ahli Pertama,S1,"SISTEM INFORMASI
TEKNIK INFORMATIKA
ILMU KOMPUTER",5,2115,1:423,0.24,tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,3,2517,1:839,0.12,sangat_tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Pengelola Keuangan,DIII,"MANAJEMEN
AKUNTANSI",1,167,1:167,0.6,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Analis SDM Ahli Pertama,S1,MANAJEMEN,2,686,1:343,0.29,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,2,458,1:229,0.44,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",2918320-6994006
2024,Auditor Ahli Muda,S1,AKUNTANSI,3,1653,1:551,0.18,sangat_tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Penyuluh Sosial Ahli Pertama,S1,"ILMU KESEJAHTERAAN SOSIAL
PSIKOLOGI",2,140,1:70,1.43,rendah,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
SISTEM INFORMASI
TEKNIK INFORMATIKA",5,1525,1:305,0.33,tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,3,540,1:180,0.56,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Arsiparis Terampil,DIII,"TEKNOLOGI INFORMASI
MANAJEMEN",3,234,1:78,1.28,rendah,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",2908320-6984006
2024,Statistisi Ahli Pertama,S1,"STATISTIKA
MATEMATIKA",2,340,1:170,0.59,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Pengelola Keuangan,DIII,"MANAJEMEN
AKUNTANSI",2,346,1:173,0.58,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Statistisi Ahli Pertama,S1,MATEMATIKA,1,133,1:133,0.75,sedang,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,2,1624,1:812,0.12,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3500000-9000000
2024,Pengelola Keuangan,DIII,"AKUNTANSI
MANAJEMEN",3,528,1:176,0.57,sedang,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,1,478,1:478,0.21,tinggi,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,2,1960,1:980,0.1,sangat_tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Analis Anggaran Ahli Pertama,S1,"EKONOMI PEMBANGUNAN
AKUNTANSI
MANAJEMEN",2,956,1:478,0.21,tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,1,257,1:257,0.39,sedang,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
