judul_jabatan,instansi,unit_organisasi,kualifikasi_pendidikan,persyaratan_kompetensi,tugas_pokok,fungsi_jabatan,jumlah_formasi,lokasi_penempatan,kode_formasi,tautan_detail,keywords
Programmer Ahli Muda,Kementerian Pertanian,Badan Penyuluhan dan Pengembangan SDM Pertanian,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang pertanian,5,Yogyakarta,FORM-2025-0060,https://sscasn.bkn.go.id/formasi/FORM-2025-0060,
Content Writer Terampil,Kementerian Komunikasi dan Informatika,Balai Sertifikasi Elektronik,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang elektronik,10,Yogyakarta,FORM-2025-0061,https://sscasn.bkn.go.id/formasi/FORM-2025-0061,
Graphic Designer Ahli Pertama,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pusat Penelitian dan Pengembangan,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang pengembangan,2,Makassar,FORM-2025-0062,https://sscasn.bkn.go.id/formasi/FORM-2025-0062,
Analis Anggaran Terampil,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Balai Pengembangan Talenta Indonesia,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang indonesia,5,Yogyakarta,FORM-2025-0063,https://sscasn.bkn.go.id/formasi/FORM-2025-0063,
Programmer Ahli Muda,Kementerian Komunikasi dan Informatika,Balai Sertifikasi Elektronik,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang elektronik,1,Makassar,FORM-2025-0064,https://sscasn.bkn.go.id/formasi/FORM-2025-0064,
Public Relations Officer Ahli Muda,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S1 Ilmu Komunikasi/Public Relations,"Media Relations, Press Release Writing, Social Media Management, Event Management, Komunikasi","Mengelola komunikasi publik instansi, membuat siaran pers, mengelola media sosial, dan koordinasi event.",Fungsi Public Relations Officer di bidang umum,10,Denpasar,FORM-2025-0065,https://sscasn.bkn.go.id/formasi/FORM-2025-0065,
Analis Anggaran Ahli Pertama,Badan Pusat Statistik,Direktorat Diseminasi Statistik,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang statistik,3,Medan,FORM-2025-0066,https://sscasn.bkn.go.id/formasi/FORM-2025-0066,
Content Writer Ahli Pertama,Badan Kepegawaian Negara,Deputi Bidang Pembinaan Pegawai,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang pegawai,8,Yogyakarta,FORM-2025-0067,https://sscasn.bkn.go.id/formasi/FORM-2025-0067,
Public Relations Officer Ahli Muda,Badan Pusat Statistik,Direktorat Statistik Kependudukan dan Ketenagakerjaan,S1 Ilmu Komunikasi/Public Relations,"Media Relations, Press Release Writing, Social Media Management, Event Management, Komunikasi","Mengelola komunikasi publik instansi, membuat siaran pers, mengelola media sosial, dan koordinasi event.",Fungsi Public Relations Officer di bidang ketenagakerjaan,7,Semarang,FORM-2025-0068,https://sscasn.bkn.go.id/formasi/FORM-2025-0068,
Analis Kebijakan Ahli Pertama,Kementerian Komunikasi dan Informatika,Direktorat Jenderal Informasi dan Komunikasi Publik,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang publik,3,Jakarta,FORM-2025-0069,https://sscasn.bkn.go.id/formasi/FORM-2025-0069,
Graphic Designer Ahli Pertama,Badan Kepegawaian Negara,Pusat Penilaian Kompetensi ASN,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang asn,3,Manado,FORM-2025-0070,https://sscasn.bkn.go.id/formasi/FORM-2025-0070,
Perancang Peraturan Perundang-undangan Ahli Pertama,Kementerian BUMN,Deputi Bidang Usaha Infrastruktur dan Kawasan,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang kawasan,10,Denpasar,FORM-2025-0071,https://sscasn.bkn.go.id/formasi/FORM-2025-0071,
Data Scientist Terampil,Badan Pusat Statistik,Direktorat Statistik Ekonomi,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang ekonomi,4,Bandung,FORM-2025-0072,https://sscasn.bkn.go.id/formasi/FORM-2025-0072,
Data Scientist Ahli Muda,Badan Kepegawaian Negara,Pusat Penilaian Kompetensi ASN,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang asn,10,Jakarta,FORM-2025-0073,https://sscasn.bkn.go.id/formasi/FORM-2025-0073,
Graphic Designer Ahli Muda,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang umum,8,Manado,FORM-2025-0074,https://sscasn.bkn.go.id/formasi/FORM-2025-0074,
Auditor Ahli Muda,Kementerian Dalam Negeri,Direktorat Jenderal Bina Keuangan Daerah,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang daerah,10,Yogyakarta,FORM-2025-0075,https://sscasn.bkn.go.id/formasi/FORM-2025-0075,
Analis Kebijakan Terampil,Kementerian Komunikasi dan Informatika,Direktorat e-Government,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang e-government,9,Surabaya,FORM-2025-0076,https://sscasn.bkn.go.id/formasi/FORM-2025-0076,
Content Writer Terampil,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Direktorat Jenderal Guru dan Tenaga Kependidikan,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang kependidikan,10,Manado,FORM-2025-0077,https://sscasn.bkn.go.id/formasi/FORM-2025-0077,
Content Writer Terampil,Kementerian Komunikasi dan Informatika,Balai Sertifikasi Elektronik,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang elektronik,3,Manado,FORM-2025-0078,https://sscasn.bkn.go.id/formasi/FORM-2025-0078,
Perancang Peraturan Perundang-undangan Terampil,Kementerian Komunikasi dan Informatika,Direktorat Jenderal Aplikasi Informatika,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang informatika,3,Bandung,FORM-2025-0079,https://sscasn.bkn.go.id/formasi/FORM-2025-0079,
Content Writer Ahli Muda,Kementerian BUMN,"Deputi Bidang Usaha Pertambangan, Industri Strategis dan Media",S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang media,9,Bandung,FORM-2025-0080,https://sscasn.bkn.go.id/formasi/FORM-2025-0080,
Content Writer Ahli Pertama,Kementerian Kesehatan,Badan Penelitian dan Pengembangan Kesehatan,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang kesehatan,5,Surabaya,FORM-2025-0081,https://sscasn.bkn.go.id/formasi/FORM-2025-0081,
Auditor Ahli Muda,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Direktorat Jenderal Pendidikan Tinggi,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang tinggi,2,Jakarta,FORM-2025-0082,https://sscasn.bkn.go.id/formasi/FORM-2025-0082,
Data Scientist Ahli Pertama,Badan Kepegawaian Negara,Deputi Bidang Mutasi Pegawai,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang pegawai,1,Yogyakarta,FORM-2025-0083,https://sscasn.bkn.go.id/formasi/FORM-2025-0083,
Analis Anggaran Ahli Muda,Kementerian Kesehatan,Direktorat Jenderal Pencegahan dan Pengendalian Penyakit,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang penyakit,1,Palembang,FORM-2025-0084,https://sscasn.bkn.go.id/formasi/FORM-2025-0084,
Network Administrator Ahli Pertama,Kementerian Hukum dan HAM,Direktorat Jenderal Pemasyarakatan,S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang pemasyarakatan,6,Semarang,FORM-2025-0085,https://sscasn.bkn.go.id/formasi/FORM-2025-0085,
Analis Kebijakan Terampil,Kementerian Komunikasi dan Informatika,Balai Sertifikasi Elektronik,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang elektronik,8,Denpasar,FORM-2025-0086,https://sscasn.bkn.go.id/formasi/FORM-2025-0086,
Content Writer Ahli Muda,Kementerian Pertanian,Direktorat Jenderal Perkebunan,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang perkebunan,1,Surabaya,FORM-2025-0087,https://sscasn.bkn.go.id/formasi/FORM-2025-0087,
Programmer Ahli Pertama,Kementerian Keuangan,Direktorat Jenderal Bea dan Cukai,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang cukai,8,Manado,FORM-2025-0088,https://sscasn.bkn.go.id/formasi/FORM-2025-0088,
Content Writer Terampil,Kementerian Dalam Negeri,Direktorat Jenderal Bina Keuangan Daerah,S1 Jurnalistik/Sastra/Komunikasi,"Writing, SEO, Content Strategy, Editing, Social Media","Membuat konten berkualitas untuk website, media sosial, dan publikasi instansi, serta melakukan editing dan proofreading.",Fungsi Content Writer di bidang daerah,8,Semarang,FORM-2025-0089,https://sscasn.bkn.go.id/formasi/FORM-2025-0089,
Peneliti Ahli Pertama,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S2/S3 sesuai bidang penelitian,"Metodologi Penelitian, Analisis Data, Academic Writing, Publikasi Ilmiah, Presentasi","Melakukan penelitian di bidang tertentu, mempublikasikan hasil penelitian, dan memberikan rekomendasi kebijakan berbasis riset.",Fungsi Peneliti di bidang umum,8,Semarang,FORM-2025-0090,https://sscasn.bkn.go.id/formasi/FORM-2025-0090,
Graphic Designer Ahli Pertama,Badan Kepegawaian Negara,Pusat Penilaian Kompetensi ASN,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang asn,5,Surabaya,FORM-2025-0091,https://sscasn.bkn.go.id/formasi/FORM-2025-0091,
Perancang Peraturan Perundang-undangan Terampil,Kementerian Pertanian,Badan Penyuluhan dan Pengembangan SDM Pertanian,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang pertanian,9,Palembang,FORM-2025-0092,https://sscasn.bkn.go.id/formasi/FORM-2025-0092,
Analis Anggaran Ahli Pertama,Badan Kepegawaian Negara,Deputi Bidang Pembinaan Pegawai,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang pegawai,5,Yogyakarta,FORM-2025-0093,https://sscasn.bkn.go.id/formasi/FORM-2025-0093,
Analis Kebijakan Terampil,Kementerian Pertanian,Badan Karantina Pertanian,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang pertanian,4,Jakarta,FORM-2025-0094,https://sscasn.bkn.go.id/formasi/FORM-2025-0094,
Peneliti Ahli Muda,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S2/S3 sesuai bidang penelitian,"Metodologi Penelitian, Analisis Data, Academic Writing, Publikasi Ilmiah, Presentasi","Melakukan penelitian di bidang tertentu, mempublikasikan hasil penelitian, dan memberikan rekomendasi kebijakan berbasis riset.",Fungsi Peneliti di bidang umum,6,Yogyakarta,FORM-2025-0095,https://sscasn.bkn.go.id/formasi/FORM-2025-0095,
Data Scientist Ahli Muda,Kementerian Kesehatan,Inspektorat Jenderal,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang jenderal,3,Surabaya,FORM-2025-0096,https://sscasn.bkn.go.id/formasi/FORM-2025-0096,
Perancang Peraturan Perundang-undangan Terampil,Kementerian Kesehatan,Badan Penelitian dan Pengembangan Kesehatan,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang kesehatan,9,Medan,FORM-2025-0097,https://sscasn.bkn.go.id/formasi/FORM-2025-0097,
Analis Kebijakan Terampil,Kementerian Pertanian,Direktorat Jenderal Tanaman Pangan,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang pangan,4,Surabaya,FORM-2025-0098,https://sscasn.bkn.go.id/formasi/FORM-2025-0098,
Network Administrator Terampil,Kementerian Dalam Negeri,Inspektorat Jenderal,S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang jenderal,5,Surabaya,FORM-2025-0099,https://sscasn.bkn.go.id/formasi/FORM-2025-0099,
Perancang Peraturan Perundang-undangan Terampil,Badan Pusat Statistik,Pusat Data dan Informasi,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang informasi,9,Manado,FORM-2025-0100,https://sscasn.bkn.go.id/formasi/FORM-2025-0100,
